Website,School,City and State,Type,Conference
https://www.sunymaritime.edu/,SUNY Maritime College,"Throggs Neck, New York",Public,Skyline Conference
https://www.morrisville.edu/,SUNY Morrisville,"Morrisville, New York",Public,Empire 8 Athletic Conference
https://www.susqu.edu/,Susquehanna University,"Selinsgrove, Pennsylvania",Private,Landmark
https://www.tlu.edu/,Texas Lutheran University,"Seguin, Texas",Private,Southern Collegiate Athletic Conference
https://tcnj.edu/,The College of New Jersey,"Ewing, New Jersey",Public,New Jersey Athletic Conference
https://www.css.edu/,The College of St. Scholastica,"Duluth, Minnesota",Private,Minnesota Intercollegiate Athletic Conference
https://www.thiel.edu/,Thiel College,"Greenville, Pennsylvania",Private,Presidents' Athletic Conference
https://www.trine.edu/,Trine University,"Angola, Indiana",Private,Michigan Intercollegiate Athletic Association
https://www.trincoll.edu/,Trinity College – Connecticut,"Hartford, Connecticut",Private,New England Small College Athletic Conference
https://www.trinity.edu/,Trinity University – Texas,"San Antonio, Texas",Private,Southern Athletic Association
https://www.tufts.edu/,Tufts University,"Medford, Massachusetts",Private,New England Small College Athletic Conference
https://www.union.edu/,Union College – New York,"Schenectady, New York",Private,Liberty League
https://uscga.edu/,United States Coast Guard Academy,"New London, Connecticut",Public,New England Women's & Men's Athletic Conference
https://www.usmma.edu/,United States Merchant Marine Academy,"Kings Point, New York",Public,New England Women's & Men's Athletic Conference
https://www.uchicago.edu/,University of Chicago,"Chicago, Illinois",Private,Midwest Conference
https://www.dbq.edu//,University of Dubuque,"Dubuque, Iowa",Private,American Rivers
https://laverne.edu/,University of La Verne,"La Verne, California",Private,Southern California Intercollegiate Athletic Conference
https://www.umhb.edu/,University of Mary Hardin-Baylor,"Belton, Texas",Private,American Southwest Conference
https://www.umassd.edu/,University of Massachusetts – Dartmouth,"North Dartmouth, Massachusetts",Public,Little East Conference
https://morris.umn.edu/,University of Minnesota – Morris,"Morris, Minnesota",Public,Upper Midwest Athletic Conference
https://www.mountunion.edu/,University of Mount Union,"Alliance, Ohio",Private,Ohio Athletic Conference
https://www.une.edu/,University of New England,"Biddeford, Maine",Private,Commonwealth Coast Conference
https://unwsp.edu/,University of Northwestern – St. Paul,"Saint Paul, Minnesota",Private,Upper Midwest Athletic Conference
https://www.pugetsound.edu/,University of Puget Sound,"Tacoma, Washington",Private,Northwest Conference
https://www.redlands.edu/,University of Redlands,"Redlands, California",Private,Southern California Intercollegiate Athletic Conference
https://www.rochester.edu/,University of Rochester,"Rochester, New York",Private,Liberty League
https://www.uwec.edu/,University of Wisconsin – Eau Claire,"Eau Claire, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference
https://www.uwlax.edu/,University of Wisconsin – La Crosse,"La Crosse, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference
https://uwosh.edu/,University of Wisconsin – Oshkosh,"Oshkosh, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference
https://www.uwplatt.edu/,University of Wisconsin – Platteville,"Platteville, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference
https://www.uwrf.edu/,University of Wisconsin – River Falls,"River Falls, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference
https://www.uwsp.edu/,University of Wisconsin – Stevens Point,"Stevens Point, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference
https://www.uwstout.edu/,University of Wisconsin – Stout,"Menomonie, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference
https://www.uww.edu/,University of Wisconsin – Whitewater,"Whitewater, Wisconsin",Public,Wisconsin Intercollegiate Athletic Conference
https://www.ursinus.edu/,Ursinus College,"Collegeville, Pennsylvania",Private,Centennial Conference
https://www.utica.edu/,Utica University,"Utica, New York",Private,Empire 8 Athletic Conference
https://www.wabash.edu/,Wabash College,"Crawfordsville, Indiana",Private,North Coast Athletic Conference
https://www.wartburg.edu/,Wartburg College,"Waverly, Iowa",Private,American Rivers
https://www.washjeff.edu/,Washington & Jefferson College,"Washington, Pennsylvania",Private,Presidents' Athletic Conference
https://www.wlu.edu/,Washington & Lee University,"Lexington, Virginia",Private,Old Dominion Athletic Conference
https://wustl.edu/,Washington University in St. Louis,"Saint Louis, Missouri",Private,University Athletic Association
https://www.waynesburg.edu/,Waynesburg University,"Waynesburg, Pennsylvania",Private,Presidents' Athletic Conference
https://www.wesleyan.edu/,Wesleyan University,"Middletown, Connecticut",Private,New England Small College Athletic Conference
https://www.wcsu.edu/,Western Connecticut State University,"Danbury, Connecticut",Public,Little East Conference
https://www1.wne.edu/,Western New England University,"Springfield, Massachusetts",Private,Commonwealth Coast Football
