FCS/FBS,Name of School,Conference,Private/Public,Camp link,Website,Adress
NCAA D1 FBS,San Diego State University,Mountain West Conference,Public,https://info.abcsportscamps.com/sdsufootball,https://www.sdsu.edu/,"San Diego, California"
NCAA D1 FBS,San Jose State University,Mountain West Conference,Public,https://sanjosestatefootballcamps.totalcamps.com/About%20Us,https://www.sjsu.edu/,"San Jose, California"
NCAA D1 FCS,South Carolina State University,Mid-Eastern Athletic Conference,Public,https://www.scsuathletics.com/sports/2022/5/20/2022-bulldog-football-summer-camps.aspx,https://scsu.edu/,"Orangeburg, South Carolina"
NCAA D1 FCS,South Dakota State University,Western Wrestling Conference,Public,https://www.jackrabbitfootballcamps.com/,https://www.sdstate.edu/,"Brookings, South Dakota"
NCAA D1 FCS,Southeast Missouri State University,Ohio Valley Conference,Public,https://info.abcsportscamps.com/semofb,https://semo.edu/,"Cape Girardeau, Missouri"
NCAA D1 FCS,Southeastern Louisiana University,Southland Conference,Public,https://www.frankscelfofootballcamps.com/,https://www.southeastern.edu/,"Hammond, Louisiana"
NCAA D1 FCS,Southern Illinois University Carbondale,Missouri Valley Conference,Public,https://www.nickhillfootballcamp.com/,https://siu.edu/,"Carbondale, Illinois"
NCAA D1 FBS,Southern Methodist University – SMU,American Athletic Conference,Private,https://www.coachlashleecamps.com/,https://www.smu.edu/,"Dallas, Texas"
NCAA D1 FCS,Southern University & A&M College,Southwestern Athletic Conference,Public,https://www.southernufootball.com/,http://www.subr.edu/,"Baton Rouge, Louisiana"
NCAA D1 FCS,Southern Utah University,Big Sky Conference,Public,https://southernutahfootballcamps.com/,https://www.suu.edu/,"Cedar City, Utah"
NCAA D1 FBS,Stanford University,Pacific-12 Conference,Private,https://stanfordfootballcamps.totalcamps.com/About%20Us,https://www.stanford.edu/,"Stanford, California"
NCAA D1 FCS,Stephen F Austin State University,Western Athletic Conference,Public,https://www.sfafootballcamps.com/,https://www.sfasu.edu/,"Nacogdoches, Texas"
NCAA D1 FCS,Stetson University,Atlantic Sun Conference,Private,https://gohatters.com/sports/2017/4/13/stetson-athletics-camps.aspx,https://www.stetson.edu/,"DeLand, Florida"
NCAA D1 FCS,Stonehill College,Norteast Conference (NEC),Private,https://www.stonehillskyhawks.com/camps/FB/home,https://www.stonehill.edu/,"Easton, Massachusetts"
NCAA D1 FCS,SUNY Stony Brook University,America East Conference,Public,https://stonybrookathletics.com/sports/2016/8/25/camps-ston-13-football-camp-html,https://www.stonybrook.edu/,"Stony Brook, New York"
NCAA D1 FCS,SUNY University at Albany,America East Conference,Public,https://ualbanyfootball.totalcamps.com/About%20Us,https://www.albany.edu/,"Albany, New York"
NCAA D1 FBS,SUNY University at Buffalo,Mid-American Conference,Public,https://www.ubfootballcamps.com/ub-football-camps.cfm,https://www.buffalo.edu/,"Buffalo, New York"
NCAA D1 FBS,Syracuse University,Atlantic Coast Conference,Private,https://cuse.com/sports/2020/7/2/FH_0126151008,https://www.syracuse.edu/,"Syracuse, New York"
NCAA D1 FCS,Tarleton State University,WAC,Public,https://www.tarletonfootballcamps.com/,https://www.tarleton.edu/home/,"Stephenville, Texas"
NCAA D1 FBS,Temple University,American Athletic Conference,Public,https://owlsports.com/sports/2016/5/4/camps-and-clinics.aspx,https://www.temple.edu/,"Philadelphia, Pennsylvania"
NCAA D1 FCS,Tennessee State University,Ohio Valley Conference,Public,https://tsutigers.com/sports/2020/10/13/football-camps.aspx,https://www.tnstate.edu/,"Nashville, Tennessee"
NCAA D1 FCS,Tennessee Technological University,Ohio Valley Conference,Public,https://www.ttusports.com/traditions/camps/camps_and_clinics,https://www.ncsasports.org/athletic-scholarships/football/tennessee/tennessee-technological-university,"Cookeville, Tennessee"
NCAA D1 FBS,Texas A&M University,Southeastern Conference,Public,https://12thman.com/sports/2015/3/23/FB_2015060311.aspx,https://www.tamu.edu/,"College Station, Texas"
NCAA D1 FBS,Texas Christian University,Big 12 Conference,Private,https://calendar.tcu.edu/event/sonny_dykes_summer_football_camps,https://www.tcu.edu/,"Fort Worth, Texas"
NCAA D1 FCS,Texas Southern University,Southwestern Athletic Conference,Public,https://www.texassouthernfootballcamps.com/,https://www.tsu.edu/,"Houston, Texas"
NCAA D1 FBS,Texas State University,Sun Belt Conference,Public,https://www.coachkinnefootballcamps.com/,https://www.txst.edu/,"San Marcos, Texas"
NCAA D1 FBS,Texas Tech University,Big 12 Conference,Public,https://www.texastechfootballcamps.com/,https://www.ttu.edu/,"Lubbock, Texas"
NCAA D1 FCS,The Citadel,Southern Conference,Public,https://brentthompsonfootballcampllc.com/,https://www.citadel.edu/,"Charleston, South Carolina"
NCAA D1 FCS,Towson University,Colonial Athletic Association,Public,https://towsontigers.com/sports/2014/7/15/FB_0715145040,https://www.towson.edu/,"Towson, Maryland"
NCAA D1 FBS,Troy University,Sun Belt Conference,Public,https://www.jonsumrallfootballcamps.com/,https://www.troy.edu/,"Troy, Alabama"
NCAA D1 FBS,Tulane University,American Athletic Conference,Private,https://tulanegreenwave.com/sports/2022/5/11/football-camps.aspx,https://tulane.edu/,"New Orleans, Louisiana"
NCAA D1 FBS,United States Air Force Academy,Mountain West Conference,Public,https://goairforcefalcons.com/sports/2018/8/8/camps,https://www.usafa.edu/,"USAFA, Colorado"
NCAA D1 FBS,United States Military Academy,Atlantic Hockey Association (Division I for men's ice hockey),Public,https://armyfootball.totalcamps.com/About%20Us,https://www.westpoint.edu/,"West Point, New York"
